date,event_type,release_time_et
2025-05-02,NFP,08:30
2025-05-07,FOMC,14:00
2025-05-13,CPI,08:30
2025-06-06,NFP,08:30
2025-06-11,CPI,08:30
2025-06-18,FOMC,14:00
2025-07-03,NFP,08:30
2025-07-15,CPI,08:30
2025-07-30,FOMC,14:00
2025-08-01,NFP,08:30
2025-08-12,CPI,08:30
2025-09-05,NFP,08:30
2025-09-11,CPI,08:30
2025-09-17,FOMC,14:00
2025-10-03,NFP,08:30
2025-10-15,CPI,08:30
2025-10-29,FOMC,14:00
2025-11-07,NFP,08:30
2025-11-13,CPI,08:30
2025-12-05,NFP,08:30
2025-12-10,CPI,08:30
2025-12-10,FOMC,14:00
2026-01-09,NFP,08:30
2026-01-14,CPI,08:30
2026-01-28,FOMC,14:00
2026-02-06,NFP,08:30
2026-02-11,CPI,08:30
2026-03-06,NFP,08:30
2026-03-12,CPI,08:30
2026-03-18,FOMC,14:00
2026-04-03,NFP,08:30
2026-04-15,CPI,08:30
2026-04-29,FOMC,14:00
